CD,Cluster,Very low density,Low density,Medium density,High density
AK-AL,Pure rural,0.482992665278201,0.198331096970346,0.229245042271376,0.089431195480077
AL-01,Rural-suburban mix,0.365358973601379,0.428877656742822,0.197413356872711,0.008350012783087
AL-02,Pure rural,0.535486668970218,0.316147719959785,0.148365611069997,0
AL-03,Pure rural,0.540407295858895,0.389347675606648,0.065552228297148,0.004692800237309
AL-04,Pure rural,0.695332139741225,0.28894150841766,0.015726351841115,0
AL-05,Rural-suburban mix,0.398973048698953,0.432821296603962,0.168205654697086,0
AL-06,Rural-suburban mix,0.346319910540023,0.490271710454079,0.151928696707046,0.011479682298852
AL-07,Rural-suburban mix,0.303055809272048,0.330021701354724,0.339117515642724,0.027804973730504
AR-01,Pure rural,0.650547976895092,0.264875258008438,0.084576765096469,0
AR-02,Rural-suburban mix,0.305145193363725,0.395321539808776,0.294859311015459,0.00467395581204
AR-03,Rural-suburban mix,0.361864207567111,0.433573110664945,0.204562681767944,0
AR-04,Pure rural,0.690657483264892,0.262483007663798,0.04685950907131,0
AZ-01,Pure rural,0.552900430933519,0.316821045601765,0.130278523464716,0
AZ-02,Dense suburban,0.170871146375899,0.223304459060413,0.40893080345327,0.196893591110417
AZ-03,Dense suburban,0.176423801176545,0.257885820731193,0.447550938479721,0.118139439612541
AZ-04,Rural-suburban mix,0.366262400685261,0.397373647498896,0.198631275752003,0.03773267606384
AZ-05,Dense suburban,0.003618717581894,0.2309788473786,0.676681394799289,0.088721040240217
AZ-06,Dense suburban,0.040134928174847,0.227922918082527,0.42978417985319,0.302157973889435
AZ-07,Urban-suburban mix,0.000759489345847,0.129455329213863,0.435115028554701,0.434670152885589
AZ-08,Dense suburban,0.052865115782376,0.198211327302894,0.615663893098745,0.133259663815984
AZ-09,Urban-suburban mix,9.26125040931804E-05,0.057301059005724,0.428893083725634,0.513713244764548
CA-01,Rural-suburban mix,0.431104133177512,0.367305761082654,0.170450158640675,0.031139947099158
CA-02,Rural-suburban mix,0.289726986947761,0.315057016578815,0.332725326244932,0.062490670228493
CA-03,Rural-suburban mix,0.250094865764136,0.258825396038173,0.258746878501218,0.232332859696474
CA-04,Rural-suburban mix,0.408058313676175,0.349768046662883,0.199964043316858,0.042209596344085
CA-05,Dense suburban,0.129091207799933,0.235716194556966,0.385459594717869,0.249733002925233
CA-06,Urban-suburban mix,0.010107085768001,0.067177025222438,0.390008164722859,0.532707724286703
CA-07,Dense suburban,0.050511193646327,0.091057017149421,0.550797635895552,0.307634153308701
